seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_fiyat,cikis_yili,cihaz_durum_puan,segment_puan,cihaz_model
10,6.0,48.0,6.1,3200.0,512.0,66699,2022.0,3,4,14.0
10,6.0,48.0,6.7,4323.0,256.0,67499,2022.0,3,5,14.0
11,6.0,48.0,6.7,4383.0,512.0,67499,2023.0,4,3,15.0
10,6.0,48.0,6.1,3200.0,1024.0,68099,2022.0,1,4,14.0
10,6.0,48.0,6.7,4323.0,256.0,68499,2022.0,4,5,14.0
10,6.0,48.0,6.7,4323.0,512.0,69999,2022.0,2,5,14.0
10,6.0,48.0,6.7,4323.0,512.0,70999,2022.0,3,5,14.0
11,8.0,48.0,6.1,3274.0,128.0,71099,2023.0,1,4,15.0
11,8.0,48.0,6.1,3274.0,128.0,71399,2023.0,2,4,15.0
11,8.0,48.0,6.1,3274.0,128.0,71699,2023.0,3,4,15.0
11,8.0,48.0,6.1,3274.0,256.0,71949,2023.0,3,4,15.0
10,6.0,48.0,6.7,4323.0,512.0,71999,2022.0,4,5,14.0
11,8.0,48.0,6.1,3274.0,128.0,71999,2023.0,4,4,15.0
10,6.0,48.0,6.7,4323.0,1024.0,72499,2022.0,2,5,14.0
11,8.0,48.0,6.1,3274.0,256.0,75099,2023.0,1,4,15.0
11,8.0,48.0,6.1,3274.0,256.0,75399,2023.0,2,4,15.0
11,8.0,48.0,6.1,3274.0,256.0,75699,2023.0,3,4,15.0
11,8.0,48.0,6.1,3274.0,256.0,75999,2023.0,4,4,15.0
11,8.0,48.0,6.7,4422.0,256.0,76899,2023.0,3,5,15.0
11,8.0,48.0,6.1,3274.0,512.0,80099,2023.0,1,4,15.0
11,8.0,48.0,6.1,3274.0,512.0,80399,2023.0,2,4,15.0
11,8.0,48.0,6.1,3274.0,512.0,80699,2023.0,3,4,15.0
11,8.0,48.0,6.1,3274.0,512.0,80999,2023.0,4,4,15.0
11,8.0,48.0,6.7,4422.0,256.0,83099,2023.0,1,5,15.0
11,8.0,48.0,6.7,4422.0,256.0,83399,2023.0,2,5,15.0
11,8.0,48.0,6.7,4422.0,256.0,83699,2023.0,3,5,15.0
11,8.0,48.0,6.7,4422.0,256.0,83999,2023.0,4,5,15.0
6,6.0,12.0,6.1,3274.0,256.0,87099,2022.0,1,2,14.0
6,6.0,12.0,6.1,3274.0,256.0,87699,2022.0,3,2,14.0
6,6.0,12.0,6.1,3274.0,256.0,87999,2022.0,4,2,14.0
11,8.0,48.0,6.7,4422.0,512.0,88599,2023.0,1,5,15.0
11,8.0,48.0,6.7,4422.0,512.0,88899,2023.0,2,5,15.0
11,8.0,48.0,6.7,4422.0,512.0,89199,2023.0,3,5,15.0
11,8.0,48.0,6.7,4422.0,512.0,89499,2023.0,4,5,15.0
6,6.0,12.0,6.1,3274.0,256.0,92699,2022.0,3,2,14.0
6,6.0,12.0,6.1,3274.0,256.0,92999,2022.0,4,2,14.0
12,8.0,48.0,6.9,4676.0,256.0,109047,2024.0,4,5,16.0
12,8.0,48.0,6.9,4676.0,256.0,108697,2024.0,4,5,16.0
12,8.0,48.0,6.9,4676.0,256.0,110999,2024.0,4,5,16.0
12,8.0,48.0,6.9,4676.0,256.0,109000,2024.0,4,5,16.0
12,8.0,48.0,6.9,4676.0,256.0,105399,2024.0,3,5,16.0
12,8.0,48.0,6.3,3582.0,128.0,93999,2024.0,4,4,16.0
12,8.0,48.0,6.3,3582.0,256.0,98999,2024.0,4,4,16.0
12,8.0,48.0,6.3,3582.0,256.0,101999,2024.0,4,4,16.0
12,8.0,48.0,6.3,3582.0,256.0,99399,2024.0,4,4,16.0
12,8.0,48.0,6.3,3582.0,512.0,102498,2024.0,4,4,16.0
12,8.0,48.0,6.3,3582.0,512.0,100998,2024.0,4,4,16.0
12,8.0,48.0,6.3,3582.0,512.0,101000,2024.0,4,4,16.0
12,8.0,48.0,6.1,3561.0,128.0,69900,2024.0,4,2,16.0
